state,year,max,mean
Alabama,2000,573175.90625,32.67310428619385
Alabama,2001,564457.2447916666,32.1791795094808
Alabama,2002,569756.21875,37.02265294392904
Alabama,2003,575813.328125,37.415965716044106
Alabama,2004,582954.4895833334,34.29845094680786
Alabama,2005,589617.0,38.0977570215861
Alabama,2006,577799.0885416666,37.34038988749186
Alabama,2007,587069.1041666666,37.93007850646973
Alabama,2008,568456.2604166666,36.71537844340006
Alabama,2009,533154.5651041666,34.39410241444906
Alabama,2010,547443.8567708334,33.33476893107096
Alabama,2011,532323.734375,32.41960525512695
Alabama,2012,516369.703125,31.463589827219646
Alabama,2013,528501.8645833334,32.20470412572225
Alabama,2014,533281.7109375,32.50602308909098
Alabama,2015,522472.484375,31.85167932510376
Alabama,2016,512169.6223958333,31.225621700286865
Alabama,2017,505914.3333333333,30.848649978637695
Alabama,2018,521879.6875,31.81296984354655
Alabama,2019,512315.2109375,31.239526748657227
Alabama,2020,462145.8255208333,28.19591522216797
Alabama,2021,494556.0989583333,30.169857343037922
Alabama,2022,501007.2760416667,30.550427436828613
California,2000,85238.81119791667,28.891397794087727
California,2001,83942.23307291667,28.48420000076294
California,2002,84726.98046875,32.39764722188314
California,2003,85627.71549479167,32.76932223637899
California,2004,86688.349609375,31.365737279256184
California,2005,87678.9609375,37.685669581095375
California,2006,85921.580078125,36.96863301595052
California,2007,87300.076171875,37.525278409322105
California,2008,84532.24869791667,36.324659983317055
California,2009,79282.69986979167,34.002638498942055
California,2010,81405.79427083333,29.64662218093872
California,2011,79157.40755208333,28.88801081975301
California,2012,76785.01888020833,28.101644039154053
California,2013,78589.09375,28.74650812149048
California,2014,79299.86653645833,29.004344781239826
California,2015,77692.51627604167,28.43235381444295
California,2016,76160.46549479167,27.892677148183186
California,2017,75230.29427083333,27.548902829488117
California,2018,77604.36588541667,28.390907287597656
California,2019,76182.11588541667,27.896816571553547
California,2020,68721.84798177083,25.227778911590576
California,2021,73541.30859375,26.98161856333415
California,2022,74500.60709635417,27.369147300720215
Colorado,2000,267856.5169270833,33.8079571723938
Colorado,2001,263782.1119791667,33.298590977986656
Colorado,2002,266258.0520833333,36.5736935933431
Colorado,2003,269088.6510416667,36.96207745869955
Colorado,2004,272418.2604166667,33.75701983769735
Colorado,2005,275537.0703125,41.42685031890869
Colorado,2006,270014.3815104167,40.60636488596598
Colorado,2007,274346.4010416667,41.24302546183268
Colorado,2008,265648.3307291667,39.91626516977946
Colorado,2009,249151.28515625,37.37237389882406
Colorado,2010,255824.81119791666,27.440043131510418
Colorado,2011,248759.06119791666,26.689111550649006
Colorado,2012,241303.6171875,25.908867835998535
Colorado,2013,246973.078125,26.51995627085368
Colorado,2014,249206.72786458334,26.77245346705119
Colorado,2015,244155.49609375,26.23548762003581
Colorado,2016,239340.88802083334,25.720710436503094
Colorado,2017,236417.74479166666,25.41210110982259
Colorado,2018,243878.47526041666,26.202492396036785
Colorado,2019,239408.92578125,25.734344482421875
Colorado,2020,215964.38151041666,23.233850797017414
Colorado,2021,231109.953125,24.85891930262248
Colorado,2022,234124.63671875,25.166865984598797
Florida,2000,331336.359375,42.484069188435875
Florida,2001,326296.359375,41.84372425079346
Florida,2002,329357.2630208333,54.16318607330322
Florida,2003,332858.6796875,54.73836930592855
Florida,2004,336987.6510416667,49.48750432332357
Florida,2005,340851.7421875,55.61290327707926
Florida,2006,334019.9401041667,54.51234690348307
Florida,2007,339378.8307291667,55.3656956354777
Florida,2008,328618.9114583333,53.58287207285563
Florida,2009,308211.2916666667,50.16206423441569
Florida,2010,316461.0963541667,45.28245480855306
Florida,2011,307720.5989583333,44.04437700907389
Florida,2012,298498.0520833333,42.759955724080406
Florida,2013,305511.3072916667,43.76887512207031
Florida,2014,308274.3932291667,44.1876548131307
Florida,2015,302025.9036458333,43.302327473958336
Florida,2016,296070.1223958333,42.45308907826742
Florida,2017,292454.1302083333,41.9446128209432
Florida,2018,301683.21875,43.2473341623942
Florida,2019,296154.2864583333,42.47661590576172
Florida,2020,267152.859375,38.35252888997396
Florida,2021,285888.27734375,41.03435548146566
Florida,2022,289617.5,41.54003429412842
Georgia,2000,626403.9895833334,24.657140890757244
Georgia,2001,616875.65625,24.285672505696613
Georgia,2002,622664.578125,27.783208052317303
Georgia,2003,629284.1458333334,28.078246752421062
Georgia,2004,637086.6979166666,26.545249780019123
Georgia,2005,644376.234375,28.95503044128418
Georgia,2006,631460.7552083334,28.3819260597229
Georgia,2007,641591.7083333334,28.82637103398641
Georgia,2008,621250.234375,27.898329893747967
Georgia,2009,582669.9635416666,26.117918491363525
Georgia,2010,598280.6145833334,25.748595237731934
Georgia,2011,581756.40625,25.04442326227824
Georgia,2012,564320.8489583334,24.31358289718628
Georgia,2013,577579.625,24.88720417022705
Georgia,2014,582803.3333333334,25.125003655751545
Georgia,2015,570990.3385416666,24.62146298090617
Georgia,2016,559730.7213541666,24.13852580388387
Georgia,2017,552894.5546875,23.84927574793498
Georgia,2018,570342.4791666666,24.590277512868244
Georgia,2019,559889.8359375,24.151747703552246
Georgia,2020,505061.6197916667,21.80634339650472
Georgia,2021,540481.5677083334,23.33127562204997
Georgia,2022,547531.8151041666,23.6192045211792
Idaho,2000,14690.5419921875,9.153161525726318
Idaho,2001,14467.0869140625,9.01668651898702
Idaho,2002,14599.318440755209,11.407086451848349
Idaho,2003,14754.524251302084,11.528148253758749
Idaho,2004,14933.553385416666,8.143558184305826
Idaho,2005,15113.243733723959,10.86761482556661
Idaho,2006,14810.331461588541,10.654788732528687
